"Shop Name","Status","Priority","Address","City","State","Shop Type","Phone","Website","Email","Instagram","Notes","Contact Date","Contact Method","Follow Up Date","Contact Person","Owner Name","Referral","Product Interest","Follow Up Event Link","Visit Date","Outcome","Sales Process Notes","Latitude","Longitude","Status Updated By","Status Updated Date"
"Lakshmi Crystals & Gifts","Not Appropriate","High","3301 Grand Ave","Oakland","CA","Metaphysical/Spiritual","","","","","Crystal shop with spiritual gifts, incense, and healing tools. Community-focused with meditation groups. Good fit for ceremonial cacao.","","","","","","","","","","","[2025-11-08T15:40:49+00:00 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB] permanently closed","37.8126902","-122.2474126","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB","11/8/2025"
"Alameda Natural Grocery","Not Appropriate","Low","1650 Park St","Alameda","CA","Health Food Store","(510) 865-1500","https://alamedanaturalgrocery.com/","","","Woman-owned, independently operated natural grocer with extensive organic and specialty foods. Has wellness department with supplements and natural products. May have sections suitable for ceremonial products. Open Mon-Sat 8am-8pm, Sun 8am-7pm.","","","","","","","","","","","[2025-11-08T15:37:20+00:00 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB] It is a grocery store","37.7677188","-122.2394615","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB","11/8/2025"
"Ancient Future","Not Appropriate","High","2903 College Ave","Berkeley","CA","Metaphysical/Spiritual","","","","","Global spiritual artifacts, books, wellness products. Nomadic horizon-shifting vibe supports consignment for cacao in settings that evoke impermanence.","","","","","","","","","","","[2025-11-08T15:39:19+00:00 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB] place does not exist","37.8583592","-122.2531078","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB","11/8/2025"
"Shambhala Booksellers","Not Appropriate","High","2482 Telegraph Ave","Berkeley","CA","Metaphysical/Spiritual","","","","","Buddhist and spiritual bookstore with meditation supplies, incense, and ritual items. Community-oriented with classes. Good fit for ceremonial cacao.","","","","","","","","","","","[2025-11-08T15:41:38+00:00 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB] Place does not exist","37.8653562","-122.2587269","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB","11/8/2025"
"The Berkeley Alembic","Not Appropriate","Medium","2820 7th St","Berkeley","CA","Wellness Center","","","","","Yoga and meditation center with community events. May have retail section or partner with local vendors. Check if they carry wellness products.","","","","","","","","","","","","37.8540849","-122.293467","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB","11/8/2025"
"The Berkeley Herbal Center","Research","Medium","1250 Addison St, Suite G","Berkeley","CA","Health Food Store","","https://www.berkeleyherbalcenter.org/","","","Dedicated to educating individuals in herbal medicine and providing comprehensive herbal health services. Offers herbal consultations and may have retail products. Check if they have a storefront or retail section for herbal products.","","","","","","","","","","","","","","",""
"Feathered Outlaw","Manager Follow-up","Medium","1506 Webster Street","Alameda","CA","Metaphysical/Spiritual","(510) 239-4593","","featheredoutlaw@gmail.com","","Metaphysical/spiritual shop in Alameda. Check for specific offerings and hours.","2025-11-07","In-person","2025-11-12","Amber","Marie","","","https://www.google.com/calendar/event?eid=ZnUyZWFiYmFlN2I0ZmNjMzJhNDY0MzRlOThlMmVlNjdiZDgyYjkzYzIxIGdhcnlqb2JAYWdyb3ZlcnNlLnNob3A","","","Spoke with Amber; owner Marie was out. Amber will pass along our card. Follow up next Wednesday.","37.8044457","-122.2680401","",""
"Moon Kissed","Not Appropriate","High","1360 Pacific Ave","Santa Cruz","CA","Metaphysical/Spiritual","(831) 423-5477","https://www.serpents-kiss.com/","info@moonkissed.biz","","Magickal Arts Shop offering authentic, hand-crafted ritual and healing tools, crystals, gemstones, magical jewelry, talismans, spiritual statues, and herbal supplies. Open Wed-Mon 11am-7pm, closed Tuesdays. Sister store: Moonstone Metaphysical in Los Gatos.","2025-11-05","Email","","","","","","","","","[2025-11-12T21:28:46.746Z | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB] It is into tarot crystals candles and occult","36.9743363","-122.0261353","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB","11/12/2025"
"World of Stones and Mystics","Not Appropriate","High","835 Front St","Santa Cruz","CA","Metaphysical/Spiritual","","","","","High-quality selection of crystals, minerals, polished gems, and metaphysical products. Located in downtown Santa Cruz.","","","","","","","","","","","[11/10/2025 16:23:59 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB] Only deals with rocks","36.9758896","-122.026157","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB","2025-11-11T00:57:51.202206+00:00"
"Air & Fire, A Mystical Bazaar","Contacted","Medium","13136 Highway 9","Boulder Creek","CA","Metaphysical/Spiritual","(831) 338-7567","https://www.airandfire.com/","info@airandfire.com","","Handcrafted natural products with essential oils, soaps, magical oils, candles, incense, mists, crystals, stones, ritual tools, books, tarot decks. Open Tue-Sun 11am-6:30pm, Mon 11am-4pm. Near Santa Cruz.","2025-11-05","Contact form","","","","","","","","","","","","",""
"Mountain Spirit","Not Appropriate","Medium","6299 Highway 9","Felton","CA","Metaphysical/Spiritual","(831) 335-7700","https://mountainspiritstore.com/","","","Metaphysical rock shop specializing in raw and polished gems and minerals from around the world, jewelry, beads, books, candles, statues, oils, incense, cards, journals, local art, and classes. Near Santa Cruz in redwood forest.","","","","","","","","","","","[11/10/2025 16:23:10 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB] Only deals with rocks","37.0529937","-122.0734799","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB","2025-11-11T00:57:51.202206+00:00"
"The Mindshop (Gifts from the Heart)","Contacted","Medium","522 Central Ave","Pacific Grove","CA","Metaphysical/Spiritual","(831) 372-2971","https://www.centerforspiritualawakening.org/themindshop.html","themindshop.csa@gmail.com","","Metaphysical shop offering crystals, gemstones, candles, incense, metaphysical books, tarot/oracle cards, handmade jewelry, cards, chimes, and garden decor. Peaceful atmosphere. Part of Center for Spiritual Awakening. Open Tue-Sun 12pm-5pm, closed Mondays.","2025-11-05","Email","","","","","","","","","","36.621958","-121.915872","",""
"Apotheca","Contacted","Medium","9 E Gabilan St","Salinas","CA","Metaphysical/Spiritual","(831) 783-5852","https://shopapotheca.com/","","https://www.instagram.com/apotheca.dot/","Apothecary shop providing 'medicine for the soul.' Specializing in handmade, natural, and made in USA products. Offers crystals, candles, jewelry, books, sage, palo santo, tarot and oracle decks. Located in Oldtown Salinas.","2025-11-05","Instagram","","","","","","","","","","36.6757542","-121.6550127","",""
"Untamed Fire","Contacted","High","490 Orange Ave, Unit D","Sand City","CA","Metaphysical/Spiritual","(831) 582-1724","https://www.untamedfire.net/","sales@untamedfire.net","","Female-owned metaphysical shop offering hand-made metaphysically charged items, crystals, bracelets, journals, cleansing products. Owner Lynnette Smick runs Fiery Crone Medicinals line. Focus on natural, holistic ingredients. Community-focused with positive energy. Near Monterey.","2025-11-05","Email","","","","","","","","","","","","",""
"Esalen Institute Gift Shop","Research","Low","55000 CA-1","Big Sur","CA","Wellness Center","","https://www.esalen.org/","","","Renowned holistic retreat center offering meditation, yoga, and personal growth workshops. Has a gift shop that may carry wellness products. Check if they sell ceremonial cacao or would be interested. Highway 1 closures may affect access - verify road conditions before visiting.","","","","","","","","","","","","36.1248106","-121.637744","",""
"Crystal Garden","Research","High","779 Higuera St","San Luis Obispo","CA","Metaphysical/Spiritual","","","","","Metaphysical shop in downtown SLO offering crystals, minerals, spiritual items, books, and ritual supplies. College town with active spiritual community.","","","","","","","","","","","","35.2795219","-120.66315","",""
"EarthTones Gifts, Gallery & Center for Healing","Contacted","Medium","790 Pine St","Paso Robles","CA","Metaphysical/Spiritual","(805) 238-4413","","earthtoneswb@gmail.com","","Gifts, gallery, and healing center. Wine country area with wellness-oriented visitors. Check for specific offerings and hours.","2025-11-05","Email","","","","","","","","","","35.6220844","-120.6883424","",""
"Lumin Earth Apothecary","Contacted","Medium","875 Main St, Suite C","Morro Bay","CA","Metaphysical/Spiritual","(805) 225-1466","","luminearthapothecary@gmail.com","","Apothecary shop in coastal tourist town. Check for specific offerings and hours.","2025-11-05","Email","","","","","","","","","","","","",""
"The Natural Toolbox","Contacted","Medium","333 5 Cities Dr, Space 127","Pismo Beach","CA","Metaphysical/Spiritual","","","roxi@thenaturaltoolbox.com","https://www.facebook.com/thenaturaltoolbox/","Natural products shop. Located next to Jockey. Check for specific offerings and hours.","2025-11-05","Email","","","","","","","","","","","","",""
"Witchy Wanderland","Contacted","Medium","705 E Main St, Suite 205","Santa Maria","CA","Metaphysical/Spiritual","(805) 668-4989","","Wildflowerhaven888@gmail.com","","Located at Wildflower Haven building. Check for specific offerings and hours.","2025-11-05","Email","","","","","","","","","","","","",""
"Crystal Rainbow","Not Appropriate","High","1006 State St","Santa Barbara","CA","Metaphysical/Spiritual","","","","","Metaphysical shop on State Street offering crystals, gemstones, spiritual books, incense, candles, and ritual supplies. Upscale coastal city with wellness-oriented demographics.","","","","","","","","","","","[2025-11-08T15:39:52+00:00 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB] place doesn't exist","34.4216519","-119.701991","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB","11/8/2025"
"The Mystic Merchant","Contacted","Medium","1638 Copenhagen Dr","Solvang","CA","Metaphysical/Spiritual","(805) 693-1424","","mysticmerchanstaff@gmail.com","https://www.facebook.com/profile.php?id=100063739172721","Metaphysical shop in Solvang (Danish-themed tourist town). Check for specific offerings and hours.","2025-11-05","Email","","","","","","","","","","34.5950743","-120.140462","",""
"Spiritstone Gems Market","Research","High","1210 W Main St","Quartzsite","AZ","Metaphysical/Spiritual","(928) 927-6361","","","","Permanent gem and mineral shop offering gems, minerals, crystals, and metaphysical products. Open daily 10am-6pm. Year-round operation (not just during gem shows).","","","","","","","","","","","","33.6664461","-114.2188123","",""
"Edmodo","Rejected","Medium","777 Mariners Island Boulevard","San Mateo","CA","Other","(650) 513-2735","","","","Added via DApp on 2025-11-08T23:51:35.759Z by MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA54jNZdN4xkaPDI9TB/RwuicbbUMvttOWSTVRfvZxiHWeIoqTHRz2WJdoGsuW9rz9QPbpz6T9zQZu3RNzsSF216U3aCd89R2g7qhOMh9VC+7+sNJnI6H4qPPKFbndxQD8262Q+zqYQR6r0k89mud1sYbla/DCtKAcGZsALihVyl8tF2v1rUzfPU9FHpi5ow2kOEpVxnhe6xEY1HDU/zuFRt707WzkG1zit4AWEBXyBd3YLyinPNAb2aBA6dSPnPAQ4aB46Dtis3p5DgkLeO7E4gh/E0BqViDkkB1tLy1dgy9Kjv+5zxo1yTxkBKACjqqo69Q0VrUfkXgegWmXBAu04wIDAQAB.","","","","","","","","","","","[2025-11-08T23:51:35.759Z | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA54jNZdN4xkaPDI9TB/RwuicbbUMvttOWSTVRfvZxiHWeIoqTHRz2WJdoGsuW9rz9QPbpz6T9zQZu3RNzsSF216U3aCd89R2g7qhOMh9VC+7+sNJnI6H4qPPKFbndxQD8262Q+zqYQR6r0k89mud1sYbla/DCtKAcGZsALihVyl8tF2v1rUzfPU9FHpi5ow2kOEpVxnhe6xEY1HDU/zuFRt707WzkG1zit4AWEBXyBd3YLyinPNAb2aBA6dSPnPAQ4aB46Dtis3p5DgkLeO7E4gh/E0BqViDkkB1tLy1dgy9Kjv+5zxo1yTxkBKACjqqo69Q0VrUfkXgegWmXBAu04wIDAQAB] Not appropriate
[2025-11-08T23:51:35.759Z | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA54jNZdN4xkaPDI9TB/RwuicbbUMvttOWSTVRfvZxiHWeIoqTHRz2WJdoGsuW9rz9QPbpz6T9zQZu3RNzsSF216U3aCd89R2g7qhOMh9VC+7+sNJnI6H4qPPKFbndxQD8262Q+zqYQR6r0k89mud1sYbla/DCtKAcGZsALihVyl8tF2v1rUzfPU9FHpi5ow2kOEpVxnhe6xEY1HDU/zuFRt707WzkG1zit4AWEBXyBd3YLyinPNAb2aBA6dSPnPAQ4aB46Dtis3p5DgkLeO7E4gh/E0BqViDkkB1tLy1dgy9Kjv+5zxo1yTxkBKACjqqo69Q0VrUfkXgegWmXBAu04wIDAQAB] Added via DApp.","37.74087731","-122.5068727","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA54jNZdN4xkaPDI9TB/RwuicbbUMvttOWSTVRfvZxiHWeIoqTHRz2WJdoGsuW9rz9QPbpz6T9zQZu3RNzsSF216U3aCd89R2g7qhOMh9VC+7+sNJnI6H4qPPKFbndxQD8262Q+zqYQR6r0k89mud1sYbla/DCtKAcGZsALihVyl8tF2v1rUzfPU9FHpi5ow2kOEpVxnhe6xEY1HDU/zuFRt707WzkG1zit4AWEBXyBd3YLyinPNAb2aBA6dSPnPAQ4aB46Dtis3p5DgkLeO7E4gh/E0BqViDkkB1tLy1dgy9Kjv+5zxo1yTxkBKACjqqo69Q0VrUfkXgegWmXBAu04wIDAQAB","11/8/2025 15:51:36"
